hero,games,winPercent,takedownDeathRatio,takedowns,kills,deaths,heroDamage,siegeDamage,healing,selfHeal,damageTaken,expGain,roles
Zul'jin,15291.0,53.5,3.2,13.2,5.2,4.1,66516.0,79429.0,1380.0,24537.0,39716.0,10416.0,dps
Mephisto,3542.0,49.3,4.6,13.5,3.6,2.9,65444.0,92543.0,1178.0,4620.0,44326.0,11482.0,dps
Li-Ming,22002.0,47.4,5.5,13.0,4.6,2.4,64547.0,86814.0,1162.0,1167.0,21624.0,10733.0,dps
Hanzo,6594.0,46.1,4.6,13.1,4.7,2.9,63640.0,72334.0,1121.0,10.0,25193.0,10868.0,dps
Orphea,10128.0,52.1,3.7,14.4,5.4,3.9,63615.0,79728.0,1390.0,12033.0,42525.0,11431.0,dps
Cassia,13022.0,52.2,3.8,13.0,4.6,3.4,63517.0,75270.0,1375.0,9854.0,40694.0,10743.0,dps
Chromie,9828.0,50.1,5.3,13.8,4.5,2.6,63382.0,87487.0,1480.0,23.0,23412.0,10761.0,dps
Gul'dan,10735.0,48.9,3.5,12.4,3.7,3.6,62255.0,103591.0,1350.0,21897.0,35825.0,12249.0,dps
Tychus,17433.0,51.0,4.0,13.3,5.1,3.3,61178.0,80103.0,1424.0,2313.0,41865.0,11478.0,dps
Junkrat,3565.0,47.7,4.4,12.2,3.7,2.8,60921.0,109848.0,1224.0,19.0,26917.0,12889.0,dps
Gall,1263.0,51.3,5.2,14.7,3.7,2.8,60340.0,89850.0,0.0,0.0,0.0,8227.0,dps
Lunara,9814.0,50.7,4.0,13.0,4.5,3.3,58982.0,77545.0,1308.0,2028.0,32444.0,11536.0,dps
Tassadar,18364.0,51.8,3.8,12.8,3.6,3.3,58364.0,107978.0,1382.0,9408.0,38845.0,12487.0,dps
Sgt. Hammer,1713.0,48.6,3.0,11.0,3.2,3.6,58233.0,111303.0,1335.0,4608.0,34634.0,11420.0,dps
Kael'thas,13752.0,48.0,3.9,12.7,4.1,3.3,58098.0,91572.0,1377.0,1965.0,31362.0,11693.0,dps
Valla,13120.0,47.5,3.4,12.5,4.9,3.7,57833.0,77040.0,1236.0,4265.0,32893.0,10913.0,dps
Fenix,3801.0,51.9,4.3,13.3,5.0,3.1,57478.0,89049.0,941.0,1984.0,42940.0,12069.0,dps
Deathwing,6837.0,54.9,6.0,12.7,3.1,2.1,56747.0,90512.0,1398.0,19607.0,49447.0,12571.0,dps
Alarak,4803.0,48.7,4.2,14.6,5.4,3.5,56189.0,47398.0,1116.0,12027.0,53192.0,9634.0,dps
Kel'Thuzad,6149.0,50.3,3.6,14.2,4.4,3.9,53960.0,87525.0,1274.0,2357.0,32434.0,11391.0,dps
Azmodan,9432.0,51.0,3.3,9.9,2.6,3.0,53529.0,136027.0,1525.0,602.0,39538.0,16558.0,dps
Raynor,15908.0,50.8,3.5,11.9,4.2,3.4,53172.0,64672.0,1488.0,10698.0,37898.0,11038.0,dps
Qhira,5784.0,49.3,3.1,13.8,5.2,4.5,53168.0,57131.0,1265.0,14722.0,55609.0,10538.0,dps
Nazeebo,8657.0,46.6,3.0,10.2,3.0,3.4,53037.0,116252.0,1142.0,2442.0,36088.0,14399.0,dps
Nova,3584.0,45.1,4.7,14.1,5.3,3.0,52792.0,29334.0,1382.0,17.0,22054.0,8059.0,dps
Sylvanas,10487.0,49.1,3.5,12.1,4.4,3.5,51977.0,82622.0,1260.0,2423.0,34774.0,12524.0,dps
Greymane,8181.0,50.2,3.5,12.4,5.2,3.5,51886.0,86251.0,1329.0,12.0,42062.0,11736.0,dps
Malthael,5794.0,51.4,2.8,12.0,4.6,4.3,51669.0,88703.0,1155.0,24254.0,60202.0,14568.0,dps
Tracer,4807.0,52.0,4.1,14.0,6.1,3.4,51551.0,58193.0,1175.0,10982.0,42215.0,10789.0,dps
